../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
InvQuant	1728140285	654816555	95612825	5965115	8465371	10059307	156	0	3	5142663838	1905158925	216661200	0.988061515713 %	0.345175391823 %	2.46854380888 %	6.41499015522e-06 %	9.02704493114e-06 %	3.99771128364e-07 %
Quant	53308027050	20092407285	11949794085	122074855	1154489079	1290371525	6886	4943	94483	627562617866	131490982599	21448989170	3.00753203186 %	0.22899901151 %	7.63012683108 %	0.00012455971351 %	1.29173792036e-05 %	0.000310297032504 %
InvTransf	6299047880	3310237770	606634305	22498215	55534659	38612832	2275	730	1106	121462836766	52245143977	2741880828	1.14180324938 %	0.357168502742 %	2.40363966954 %	4.02411140466e-05 %	3.6116569414e-05 %	4.68741374455e-05 %
Transf	37969276670	16317129530	7058020655	266875130	907477028	417860747	15092	4347	672363	2271659109617	-6986532703721	-3301596172655	2.59552984131 %	0.702871251195 %	5.66985779561 %	0.00112773406724 %	3.9747926017e-05 %	0.00289499744234 %
Misc	9604430075	3255489305	1781131705	37295880	143724450	61941123	6327	27592	36742	825287672953	-890307169949	-357366177938	1.65945362522 %	0.388319553672 %	4.08340378583 %	0.000482622453742 %	6.58758505252e-05 %	0.00127732461649 %
Inter/Intra	242396487105	83505806095	41597136075	67777160	1135513264	216855654	5617	245558	16777	16905742810859	2395473849959	2277012253160	0.38643490707 %	0.0279612798063 %	1.08100488649 %	7.29122220757e-05 %	2.31727780674e-06 %	0.00020969530808 %
Inter	201446071220	102965225750	14273101535	220651050	1997634992	1012778114	16164	1003099	331051	24766501066740	-10138455908088	-9274526814516	1.01387585058 %	0.109533558368 %	2.56777214049 %	0.00042371512579 %	8.02398374022e-06 %	0.00113798109449 %
Intra	6316588000	2189015120	1117204550	51166910	99265863	58586324	3158	8749	203582	183289529466	4489470032	-6264466142	2.17212173586 %	0.810040325568 %	4.7744010609 %	0.00223935682173 %	4.99953455885e-05 %	0.00642216855482 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_1_MSizeLL_16777216_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	177162602442	68926632474	44353163820	1291060470	3227416269	1657820732	95444	233927	962560	-3678366380069086	-13593778370118582	-6161867900890498	2.12651372454 %	0.728743229217 %	4.31254041835 %	0.00044481487745 %	5.3873672369e-05 %	0.001056222768 %
InvQuant	14516378394	5500459062	803147730	50106966	33473842	63828994	1344	5950	5	296301311215	103448943180	-6227558257	0.708020686293 %	0.345175391823 %	1.54360573574 %	3.50576618321e-05 %	9.25850762168e-06 %	9.44697249765e-05 %
Quant	447787427220	168776221194	100378270314	1025428782	4382923839	6098892179	51493	158576	1794034	33464531181450	-15831912178997	-31732048708439	1.60504561101 %	0.22899901151 %	3.8943492859 %	0.000279534917355 %	1.1499429611e-05 %	0.000725460678386 %
InvTransf	52912002192	27805997268	5095728162	188985006	155377567	259222785	18690	6723	125976	5170500736702	453873063280	-3426694395634	0.703366902623 %	0.357168502742 %	1.26011735428 %	0.000176415830188 %	3.53227986576e-05 %	0.000403319273581 %
Transf	318941924028	137063888052	59287373502	2241751092	3927232937	2396616649	120840	162080	10043464	-1005032380380777	-3061609742790937	-1639164031110598	1.66227711091 %	0.702871251195 %	3.22068192277 %	0.00200398225494 %	3.78877754526e-05 %	0.00519759532953 %
Misc	80677212630	27346110162	14961506322	313285392	779088046	374860068	54371	205961	279132	-88325078614579	-487202529980630	-210728322182933	1.19301991682 %	0.388319553672 %	2.72751861225 %	0.000438642720315 %	6.73932554529e-05 %	0.00114658550945 %
Inter/Intra	2036130491682	701448771198	349415943030	569328144	5172980578	873372000	45979	2149376	210450	950746744098151	-854263361082140	-26590925753532	0.214308098352 %	0.0279612798063 %	0.575369264581 %	7.79335515453e-05 %	2.25815585926e-06 %	0.000224560399455 %
Inter	1692146998248	864907896300	119894052894	1853468820	8465445557	6594729387	131984	6874636	3018691	516630567900484	-5952566456296514	-4499158503127640	0.631825413785 %	0.109533558368 %	1.52925925424 %	0.000374505124933 %	7.79979517954e-06 %	0.00100460067205 %
Intra	53059339200	18387727008	9384518220	429802044	477720008	337724063	26579	48141	1651309	-5038010306266	-23151450401316	-15852563903600	1.54054398885 %	0.810040325568 %	2.93618346052 %	0.00213533980834 %	5.00929721341e-05 %	0.00611923877975 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_1_MSizeLL_16777216_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	101235772824	39386647128	25344665040	737748840	2469195710	1129665812	55689	103585	165527	-646640473724294	-2864073945998668	-1240476610268145	2.61293398158 %	0.728743229217 %	5.55969190407 %	0.000195702057438 %	5.50092111183e-05 %	0.000415736976413 %
InvQuant	8295073368	3143119464	458941560	28632552	26397087	42482916	768	0	5	100586472772	35878333926	860145421	0.819630608406 %	0.345175391823 %	1.91223864729 %	6.49736293237e-06 %	9.25850762168e-06 %	1.38809419571e-07 %
Quant	255878529840	96443554968	57359011608	585959304	3213140027	4385369091	29520	37109	374717	11819573300916	-2193729441422	-6044434442324	1.99776569961 %	0.22899901151 %	4.94043063595 %	0.000107729159061 %	1.15367240927e-05 %	0.000267762761811 %
InvTransf	30235429824	15889141296	2911844664	107991432	126113611	158207635	10680	3556	6187	2102494615564	461210441517	-584012937514	0.800043542595 %	0.357168502742 %	1.51226774279 %	4.16486394315e-05 %	3.53227986576e-05 %	5.182175031e-05 %
Transf	182252528016	78322221744	33878499144	1281000624	2984310386	1590709655	66957	30753	2910170	-148239824145664	-664021548476206	-334364692375126	1.98877773867 %	0.702871251195 %	4.07753177056 %	0.00102151360571 %	3.6738585044e-05 %	0.00262112665295 %
Misc	46101264360	15626348664	8549432184	179020224	558516062	246282709	28183	112084	161460	-6834383117392	-99807785158799	-41611574419872	1.39991513885 %	0.388319553672 %	3.32894633708 %	0.000429339337058 %	6.11328135817e-05 %	0.00113147948238 %
Inter/Intra	1163503138104	400827869256	199666253160	325330368	3844739949	643877864	25348	853531	71248	329142900821056	-146020466390924	13314747040329	0.272899980558 %	0.0279612798063 %	0.747487385046 %	5.38621584775e-05 %	2.17859317864e-06 %	0.000154003006104 %
Inter	966941141856	494233083600	68510887368	1059125040	6043953755	4234788246	72731	3963978	1385127	331689609237647	-1255226188692685	-894626965610361	0.741189604707 %	0.109533558368 %	1.82653969323 %	0.000354441313088 %	7.52176082408e-06 %	0.00095053972605 %
Intra	30319622400	10507272576	5362581840	245601168	355735393	232033664	14527	31856	944370	965690822991	-4449627083619	-3003139402356	1.80424261639 %	0.810040325568 %	3.70368272823 %	0.00214497558383 %	4.79128658278e-05 %	0.00615144899512 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_2_MSizeLL_8388608_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	37963414809	14769992673	9504249390	276655815	1068006195	459924876	22263	37548	62418	-25194239900498	-175949611697615	-69253828587828	2.89950968063 %	0.728743229217 %	6.29445429041 %	0.000196390748211 %	5.86433020107e-05 %	0.00041181924338 %
InvQuant	3110652513	1178669799	172103085	10737207	12583725	17225853	300	0	5	15356408262	5622756877	532078462	0.908830281624 %	0.345175391823 %	2.20685345058 %	6.83638014445e-06 %	9.64427877258e-06 %	3.70158452189e-07 %
Quant	95954448690	36166333113	21509629353	219734739	1734774093	2149596492	13536	8559	154013	1860083077918	187752014113	-175676757074	2.6714146588 %	0.22899901151 %	6.7348171039 %	0.000114630950132 %	1.41066935247e-05 %	0.000281871325677 %
InvTransf	11338286184	5958427986	1091941749	40496787	77177508	65474925	4371	1399	2472	358436903467	129945189940	-13028253947	0.995990249678 %	0.357168502742 %	2.02333265292 %	4.48211116479e-05 %	3.85507997335e-05 %	5.49049219473e-05 %
Transf	68344698006	29370833154	12704437179	480375234	1432477899	700681515	28998	8203	1214786	825560219952	-41121324459380	-19351778564394	2.36690400053 %	0.702871251195 %	5.06986502313 %	0.00113384111482 %	4.24290410903e-05 %	0.00290666938161 %
