../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Quant	309186556890	116535962253	69308805693	708034159	3652132997	5026946501	36349	48182	478838	16855960237312	-4507855323146	-10721857451593	1.89626659689 %	0.22899901151 %	4.67006932394 %	0.000113804717345 %	1.17563326057e-05 %	0.000283580757115 %
InvTransf	36534477704	19199379066	3518478969	130489647	133085088	187752571	12955	4286	7683	2895787574230	525728549788	-1074747000219	0.761703822087 %	0.357168502742 %	1.41227072775 %	4.20641645416e-05 %	3.54596556846e-05 %	5.26854247507e-05 %
Transf	220221804686	94639351274	40936519799	1547875754	3244441164	1836835253	83324	36936	3597906	-289664961820986	-1122439427591305	-574197451524054	1.86318029112 %	0.702871251195 %	3.74792090715 %	0.00104502256572 %	3.78363986794e-05 %	0.00268103901619 %
Misc	55705694435	18881837969	10330563889	216316104	626673953	284344954	39680	135900	198176	-18964835787927	-172003854714105	-72294878213362	1.32755568037 %	0.388319553672 %	3.1186032269 %	0.00044013704536 %	7.12314968918e-05 %	0.00114361017497 %
Inter/Intra	1405899625209	484333675351	241263389235	393107528	4224387741	704550054	32585	1104233	95489	472043551403886	-272779094685446	9625186084014	0.249685835708 %	0.0279612798063 %	0.679294064925 %	5.78141643804e-05 %	2.31773303127e-06 %	0.000165342730636 %
Inter	1168387213076	597198309350	82783988903	1279776090	6604987417	4926639742	93443	4939198	1722514	416626990032947	-2134128184451699	-1548244372920467	0.693119160994 %	0.109533558368 %	1.69587167028 %	0.000365465614889 %	7.99760549878e-06 %	0.000979689032658 %
Intra	36636210400	12696287696	6479786390	296768078	391359007	263712782	18725	35065	1139248	339447550745	-7901275949057	-5334218559674	1.70543075913 %	0.810040325568 %	3.41608916435 %	0.00213759033694 %	5.11106356131e-05 %	0.00612384471782 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_2_MSizeLL_16777216_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	46399729211	18052213267	11616304810	338134885	1267900821	560790606	25464	47411	81691	-50958491433682	-311624659422765	-125169868724367	2.84852930001 %	0.728743229217 %	6.16374374431 %	0.000203193849616 %	5.48796306207e-05 %	0.000435148124571 %
InvQuant	3801908627	1440596421	210348215	13123253	14199373	20670961	348	0	5	22470237704	8190217721	697722227	0.880155483472 %	0.345175391823 %	2.11214435903 %	6.47367502799e-06 %	9.15329730779e-06 %	3.02856915427e-07 %
Quant	117277659510	44203296027	26289546987	268564681	1965439533	2548186778	14276	12626	197843	2711238884068	146277761631	-422329680926	2.54682760483 %	0.22899901151 %	6.40295683649 %	0.000119691323706 %	1.21728213708e-05 %	0.000298567898529 %
InvTransf	13857905336	7282523094	1334595471	49496073	83954454	78477811	4945	1619	3240	518674082701	174228934953	-34361887332	0.942950445497 %	0.357168502742 %	1.88499512656 %	4.36217556127e-05 %	3.56836035469e-05 %	5.63877584293e-05 %
Transf	83532408674	35897684966	15527645441	587125286	1664094137	833302185	31777	10140	1421303	-3258775511173	-73598252884655	-34929665528255	2.28554629694 %	0.702871251195 %	4.85635445069 %	0.0010842060707 %	3.80415224515e-05 %	0.002783536807 %
Misc	21129746165	7162076471	3918489751	82050936	292010678	123171404	13351	56023	79174	2046430163230	-10053177775068	-4174917193105	1.54370753076 %	0.388319553672 %	3.74693922388 %	0.000461181494346 %	6.31858040118e-05 %	0.00122012717844 %
Inter/Intra	533272271631	183712773409	91513699365	149109752	2082619677	360680058	11954	514814	41703	74203316792427	-5146293856753	7211948676477	0.320644837724 %	0.0279612798063 %	0.887741542583 %	7.03119211915e-05 %	2.24163164596e-06 %	0.000202203296213 %
Inter	443181356684	226523496650	31400823377	485432310	3366342852	2080041734	33873	2111183	685515	98067699234392	-137740551271740	-93046542863366	0.846066020151 %	0.109533558368 %	2.11162118618 %	0.000403729579438 %	7.64314642056e-06 %	0.00108430953689 %
Intra	13896493600	4815833264	2457850010	112567202	192055103	118747055	6751	13294	440399	626408321331	-333438827146	-240518332309	1.99983855836 %	0.810040325568 %	4.27296799011 %	0.00217496529547 %	4.8580600217e-05 %	0.00623745883494 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_2_MSizeLL_16777216_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	198253388447	77132183959	49633302370	1444758145	3352510438	1763406357	108095	256794	993628	-5196034455384764	-18395811614962482	-8445215489239707	2.01855198241 %	0.728743229217 %	4.03573318192 %	0.000417980956009 %	5.45236582571e-05 %	0.000986405713583 %
InvQuant	16244518679	6155275617	898760555	56072081	34242707	68255113	1500	5950	5	367887598208	127943025003	-10547385735	0.680599728241 %	0.345175391823 %	1.45303791334 %	3.19976927654e-05 %	9.23388393119e-06 %	8.44197542343e-05 %
Quant	501095454270	188868628479	112328064399	1147503637	4547651182	6395782784	58169	165382	1886761	41069190647686	-22527909445973	-43661646855848	1.50704922714 %	0.22899901151 %	3.63331810234 %	0.000263035355326 %	1.16083671293e-05 %	0.000681329858038 %
InvTransf	59211050072	31116235038	5702362467	211483221	158594085	277832444	20965	7453	127027	6050913137113	307008803867	-4836236636937	0.67469762344 %	0.357168502742 %	1.18534262187 %	0.00016187188428 %	3.54072423551e-05 %	0.000365250197218 %
Transf	356911200698	153381017582	66345394157	2508626222	4041302562	2531300839	136280	167875	10701157	-1449542126919264	-4128484195142609	-2246930091706869	1.57485904962 %	0.702871251195 %	2.99126688912 %	0.0019085317646 %	3.81831670549e-05 %	0.00494662062425 %
Misc	90281642705	30601599467	16742638027	350581272	815514452	404368373	60669	229566	314989	-133875256782275	-664086401833565	-290528526208737	1.14111102848 %	0.388319553672 %	2.57662366018 %	0.000439760311887 %	6.7199707695e-05 %	0.00115020333799 %
Inter/Intra	2278526978787	784954577293	391013079105	637105304	5376315933	901563524	51596	2351425	221036	1173385364847750	-1188778995512972	-53228175847994	0.200173556229 %	0.0279612798063 %	0.533847969614 %	7.59606621841e-05 %	2.26444542814e-06 %	0.000218752700043 %
Inter	1893593069468	967873122050	134167154429	2074119870	8755859165	7059344031	148382	7624564	3321600	477786372652371	-8105510764085968	-6203179509817596	0.597179995015 %	0.109533558368 %	1.43508395596 %	0.000370357274031 %	7.83600248609e-06 %	0.000993263516191 %
Intra	59375927200	20576742128	10501722770	480968954	493397807	354726368	29831	50595	1845826	-9056698545460	-31748208298795	-21889211760818	1.46935167898 %	0.810040325568 %	2.72897705142 %	0.00212952843452 %	5.02408996486e-05 %	0.00610204206104 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	185598916844	72208853068	46465219240	1352539540	3272446664	1697518134	103373	249419	977003	-4243792220501385	-15412322938328393	-7021941343825693	2.07790522439 %	0.728743229217 %	4.18791122723 %	0.000437040107867 %	5.56969845287e-05 %	0.00103343719159 %
InvQuant	15207634508	5762385684	841392860	52493012	33795639	65512987	1416	5950	5	324061197342	112955663186	-7812566686	0.695973422896 %	0.345175391823 %	1.50381520728 %	3.37942341582e-05 %	9.31111277862e-06 %	9.01756465684e-05 %
Quant	469110638040	176813184108	105158187948	1074258724	4448813293	6218342739	56836	163687	1852888	36431138364418	-18343465592332	-36231351865285	1.5632666737 %	0.22899901151 %	3.78306349124 %	0.000276056538717 %	1.21156919906e-05 %	0.000715170120036 %
InvTransf	55431621344	29130092376	5338381884	197984292	156727655	266627430	19958	7074	126936	5525605094182	404332392961	-3953491469669	0.691144289475 %	0.357168502742 %	1.22823853997 %	0.000171265668813 %	3.60047198983e-05 %	0.000388790054904 %
Transf	334129634696	143590739864	62110581764	2348501144	3972715592	2451675983	131162	166685	10384501	-1169994950461519	-3465613250850782	-1868050391771412	1.62511849612 %	0.702871251195 %	3.12316494817 %	0.00197883205379 %	3.92548239905e-05 %	0.00512937200233 %
Misc	84518984660	28648305884	15673959004	328203744	793537731	386620990	58540	224338	300405	-105098824677850	-554004235308144	-240718031598402	1.17071393695 %	0.388319553672 %	2.66267692768 %	0.000452714485498 %	6.92625452559e-05 %	0.00118392641108 %
Inter/Intra	2133089086524	734851093636	366054797460	596439008	5253827905	883517316	49818	2283872	217175	1037351187244474	-980135964432141	-36310041971300	0.208218759633 %	0.0279612798063 %	0.557481367902 %	7.88765912641e-05 %	2.33548614142e-06 %	0.0002271808172 %
Inter	1772725426736	906093986600	125603293508	1941729240	8581417185	6780629999	143736	7376567	3216247	507587252213461	-6764109994367483	-5139490331914658	0.617017412595 %	0.109533558368 %	1.48900723887 %	0.000382843498371 %	8.10819305868e-06 %	0.00102673664109 %
Intra	55585974400	19263333056	9831400040	450268808	484413006	344602392	28273	50140	1731945	-6493351108309	-26395814658432	-18124527211027	1.51071506584 %	0.810040325568 %	2.84936588098 %	0.00213786357428 %	5.08635502124e-05 %	0.00612511204045 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	134981030432	52515529504	33792886720	983665120	2828975380	1365592874	76819	140399	346226	-1588113291371930	-6446094323619843	-2849807639609859	2.34002725943 %	0.728743229217 %	4.85997592994 %	0.000254618558867 %	5.69109598246e-05 %	0.000563821028458 %
InvQuant	11060097824	4190825952	611922080	38176736	28808361	52862142	1032	0	5	175352370700	61843225418	-870561383	0.755521676803 %	0.345175391823 %	1.70049526762 %	6.53728851313e-06 %	9.33083971247e-06 %	1.04107064678e-07 %
Quant	341171373120	128591406624	76478682144	781279072	3844581641	5329897413	42385	105482	550889	20253825463266	-6402352078971	-14375876255130	1.82259290454 %	0.22899901151 %	4.47382605095 %	0.000127920717989 %	1.2423375271e-05 %	0.000320071544292 %
InvTransf	40313906432	21185521728	3882459552	143988576	136114749	205458639	14618	5296	41281	3402342664180	542093605279	-1468168129447	0.742655161838 %	0.357168502742 %	1.36258833204 %	9.35962575286e-05 %	3.62604403636e-05 %	0.000185802755634 %
Transf	243003370688	104429628992	45171332192	1708000832	3368957226	1979562705	95240	56948	4075367	-406044090153121	-1470754796800556	-759759121424690	1.79736192144 %	0.702871251195 %	3.57519088692 %	0.00107679784883 %	3.91928719879e-05 %	0.00276222489969 %
Misc	61468352480	20835131552	11399242912	238693632	664086502	306551959	44594	155751	224096	-29620552027344	-227571067426645	-96230174016384	1.29060501486 %	0.388319553672 %	3.01119062225 %	0.000452965472663 %	7.25479018077e-05 %	0.00117839110054 %
Inter/Intra	1551337517472	534437159008	266221670880	433773824	4428530687	740868732	37144	1253051	115480	569087209935338	-373075113871147	4967649933160	0.23823052486 %	0.0279612798063 %	0.645643216065 %	5.97651863523e-05 %	2.39432100247e-06 %	0.000170925611373 %
Inter	1289254855808	658977444800	91347849824	1412166720	6909032987	5334914928	106760	5597600	1962963	458771039305456	-2809900584944553	-2057865729229468	0.669555184292 %	0.109533558368 %	1.63181862623 %	0.000375926535585 %	8.28075221273e-06 %	0.00100763802769 %
Intra	40426163200	14009696768	7150109120	327468224	408784983	281607860	20854	39653	1260876	-361886368663	-10581341489698	-7155877674892	1.65274831601 %	0.810040325568 %	3.26275603214 %	0.00214559098374 %	5.15854049686e-05 %	0.00614622367938 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_1_MSizeLL_16777216_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	168726288040	65644411880	42241108400	1229581400	3148778890	1601913308	93841	233559	952129	-3165477191840490	-11909089780612037	-5370712115240639	2.16197335693 %	0.728743229217 %	4.40345672493 %	0.000462572081709 %	5.56172965636e-05 %	0.00109902422209 %
InvQuant	13825122280	5238532440	764902600	47720920	32034209	61645610	1284	5950	5	269718731840	94331523687	-4824735335	0.713116626278 %	0.345175391823 %	1.56043695611 %	3.65079510485e-05 %	9.28744045799e-06 %	9.91932112253e-05 %
Quant	426464216400	160739258280	95598352680	976598840	4266595503	5959843908	50620	158069	1786664	30601912306698	-13537766982358	-27587206150249	1.64074520631 %	0.22899901151 %	3.98944164795 %	0.000292230178662 %	1.18696945848e-05 %	0.000758660811699 %
InvTransf	50392383040	26481902160	4853074440	179985720	149186795	249217663	18008	6454	125944	4813535257435	491529830573	-2947497143761	0.707706917913 %	0.357168502742 %	1.27143690926 %	0.000184033842109 %	3.57355594509e-05 %	0.00042252464934 %
Transf	303754213360	130537036240	56464165240	2135001040	3793845753	2318389063	117794	161646	9926070	-856227066483650	-2687471692079509	-1428731761697014	1.68051856518 %	0.702871251195 %	3.26855376737 %	0.00207955117588 %	3.87793797811e-05 %	0.00539446587517 %
Misc	76835440600	26043914440	14249053640	298367040	756397260	361429242	53084	203934	275780	-73362713897963	-425550808289187	-183218819024696	1.20909483699 %	0.388319553672 %	2.77424710878 %	0.000454883666571 %	6.90879099351e-05 %	0.001190565061 %
Inter/Intra	1939171896840	668046448760	332777088600	542217280	4998231408	841983175	44778	2131841	209241	867483189065111	-738729188744206	-18084365921742	0.217089856289 %	0.0279612798063 %	0.583540890576 %	8.11518267085e-05 %	2.30912999889e-06 %	0.000233915561796 %
Inter	1611568569760	823721806000	114184812280	1765208400	8030579565	6343646487	129241	6813935	2980266	517848872791562	-5205957377174494	-3912043861791592	0.633049285112 %	0.109533558368 %	1.53258605621 %	0.000389234696088 %	8.0195780946e-06 %	0.00104426184965 %
Intra	50532704000	17512120960	8937636400	409335280	462009761	327069949	25698	47925	1575623	-3771760869633	-20161609880497	-13766133568317	1.55673768912 %	0.810040325568 %	2.98331549609 %	0.0021423658985 %	5.08541953346e-05 %	0.00613823400307 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_16777216_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	25308943206	9846661782	6336166260	184437210	768164256	308626281	13088	22940	40039	-5094666381114	-55178127909061	-20948844139264	3.03970572734 %	0.728743229217 %	6.65390829221 %	0.000183330327224 %	5.17129454734e-05 %	0.000389171780337 %
InvQuant	2073768342	785779866	114735390	7158138	10160253	12058191	192	0	3	7191378001	2655373386	289225347	0.987685976541 %	0.345175391823 %	2.46730345232 %	6.55620063033e-06 %	9.25850762168e-06 %	3.3314260697e-07 %
Quant	63969632460	24110888742	14339752902	146489826	1388775933	1551711063	7389	5156	97782	875992201662	158344064948	1217517935	3.01402905724 %	0.22899901151 %	7.64743283929 %	0.000107719883553 %	1.15507932684e-05 %	0.00026771464818 %
InvTransf	7558857456	3972285324	727961166	26997858	67012089	45970596	2670	889	1122	169717551220	69895232482	1364288161	1.14184971117 %	0.357168502742 %	2.40376085042 %	3.81838674394e-05 %	3.53227986576e-05 %	4.27849901974e-05 %
Transf	45563132004	19580555436	8469624786	320250156	1085053542	501750510	16685	4678	725252	2492106417480	-12229073492440	-5747786358217	2.5906376854 %	0.702871251195 %	5.65701909735 %	0.00101423910625 %	3.66195194802e-05 %	0.00260222926991 %
Misc	11525316090	3906587166	2137358046	44755056	172772868	75136719	7021	28539	38202	1074031730042	-1581923919551	-643454128226	1.6657765968 %	0.388319553672 %	4.10178415429 %	0.000419835522576 %	6.09180689291e-05 %	0.00110426216087 %
Inter/Intra	290875784526	100206967314	49916563290	81332592	1367497362	261406833	6337	251965	17400	23690541782308	2466053927589	3024033747679	0.387809397503 %	0.0279612798063 %	1.08504255692 %	6.25175574068e-05 %	2.17859317864e-06 %	0.000179428900264 %
Inter	241735285464	123558270900	17127721842	264781260	2486397162	1222796739	17709	1028040	348705	34128596353802	-19663982374886	-15827589472594	1.03916162292 %	0.109533558368 %	2.63650547486 %	0.000364638182933 %	7.32578198752e-06 %	0.000978594224746 %
Intra	7579905600	2626818144	1340645460	61400292	118277658	69976890	3593	8870	241435	247604214435	-13278377690	-20373881958	2.16200621622 %	0.810040325568 %	4.74495967172 %	0.00219875190197 %	4.74016457408e-05 %	0.0063089425634 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_4_MSizeLL_8388608_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	206689702849	80414404553	51745357790	1506237215	3390544832	1800271262	115448	268080	1010989	-5903996291325622	-20558423519686333	-9485463351809420	1.97640958507 %	0.728743229217 %	3.92768267888 %	0.00041154469558 %	5.5855709505e-05 %	0.000967820293654 %
InvQuant	16935774793	6417202239	937005685	58458127	34421933	69655492	1572	5950	5	398548994294	138417823047	-12618993531	0.669146429183 %	0.345175391823 %	1.41520917107 %	3.09880829793e-05 %	9.28212626357e-06 %	8.09740499798e-05 %
Quant	522418665090	196905591393	117107982033	1196333579	4609096775	6505756685	63399	170740	1936528	44282095589066	-25601719602345	-49080385399498	1.47186902562 %	0.22899901151 %	3.53960924005 %	0.000259514985201 %	1.2135669002e-05 %	0.000671075449704 %
InvTransf	61730669224	32440330146	5945016189	220482507	159813314	285744226	22064	7804	127603	6393647000168	226428435435	-5488577054986	0.665268232341 %	0.357168502742 %	1.16074904239 %	0.000157288520843 %	3.57423632003e-05 %	0.000352757009975 %
Transf	372098911366	159907869394	69168602419	2615376274	4078066596	2584212617	145876	172950	10951746	-1658514732437624	-4608816272559292	-2523818859345534	1.54325272568 %	0.702871251195 %	2.9083210337 %	0.00187475607208 %	3.92035546313e-05 %	0.00485632414012 %
Misc	94123414735	31903795189	17455090709	365499624	829426922	415962722	64396	248845	331424	-155616389554500	-744203822900351	-327068703575011	1.12270939405 %	0.388319553672 %	2.52313159291 %	0.000449299319258 %	6.84165573267e-05 %	0.00117561202901 %
Inter/Intra	2375485573629	818356899731	407651933535	664216168	5449345282	911913399	55103	2455328	230269	1268068727912022	-1341368920293805	-66106337015434	0.195071102583 %	0.0279612798063 %	0.518859123066 %	7.60989658835e-05 %	2.31965205816e-06 %	0.000219052010649 %
Inter	1974171497956	1009059212350	139876395043	2162380290	8859522221	7237057598	159321	8085925	3497438	446052563629579	-9083866811212387	-6983287754921122	0.584640855824 %	0.109533558368 %	1.40099930017 %	0.00037599363723 %	8.07027151212e-06 %	0.00100818208831 %
Intra	61902562400	21452348176	10948604590	501435718	497883410	360728575	31306	52036	1923907	-11036347285905	-35645348132856	-24642518793323	1.44220255269 %	0.810040325568 %	2.6499590651 %	0.00212849859994 %	5.05730276522e-05 %	0.00609841017414 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_4_MSizeLL_16777216_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	227780488854	88619956038	57025496340	1659934890	3448570036	1873170725	122047	278417	1041707	-7948526131326142	-26582405719846869	-12416088716855192	1.86962791818 %	0.728743229217 %	3.65390108246 %	0.000386200004007 %	5.35809720201e-05 %	0.000906395619256 %
InvQuant	18663915078	7072018794	1032618510	64423242	34578114	72315092	1728	5950	9	480186173817	166293150476	-18701553195	0.639991455478 %	0.345175391823 %	1.31891412275 %	2.87165323335e-05 %	9.25850762168e-06 %	7.35258072198e-05 %
Quant	575726692140	216997998678	129057776118	1318408434	4746899418	6761998302	65918	174135	1984488	52714614471462	-34307974856032	-64305241519817	1.39157627901 %	0.22899901151 %	3.32573491276 %	0.000241330365872 %	1.14495299419e-05 %	0.000623778927334 %
InvTransf	68029717104	35750567916	6551650494	242980722	162773427	306295424	24030	8501	127787	7211468541564	-31688258640	-7354351747701	0.645370326989 %	0.357168502742 %	1.10885165987 %	0.000145305164142 %	3.53227986576e-05 %	0.00032217695696 %
Transf	410068188036	176224998924	76226623074	2882251404	4138610567	2712278380	156853	175873	11496015	-2266101864642876	-5945864588499012	-3304052401749014	1.46910933131 %	0.702871251195 %	2.71374328783 %	0.0017854169522 %	3.82504677457e-05 %	0.00462341572917 %
Misc	103727844810	35159284494	19236222414	402795504	861531871	443619807	71911	257845	353488	-219649817286424	-968706890940715	-430641385850903	1.08013595933 %	0.388319553672 %	2.39937405162 %	0.000432095571322 %	6.93266115108e-05 %	0.00112386672126 %
Inter/Intra	2617882060734	901862705826	449249069610	731993328	5600111491	935573217	63815	2566287	238371	1518300290190185	-1771201216874877	-104067512281073	0.183111345998 %	0.0279612798063 %	0.483726426401 %	7.22720447147e-05 %	2.43765756132e-06 %	0.000207581493329 %
Inter	2175617569176	1112024438100	154149496578	2383031340	9077071356	7651906437	170552	8525681	3673480	319971730237283	-11829812870298084	-9192178394676568	0.555292472295 %	0.109533558368 %	1.32122272737 %	0.000359397511039 %	7.8392453902e-06 %	0.000963466445319 %
Intra	68219150400	23641363296	12065809140	552602628	505953111	374618572	34344	52828	2114391	-17019062330851	-46556645204832	-32403086460356	1.37902917364 %	0.810040325568 %	2.46609188834 %	0.00211838823882 %	5.03436348864e-05 %	0.00606942205767 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_2_MSizeLL_8388608_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	29527100407	11487772079	7392193970	215176745	868111569	359059146	19736	34828	51250	-9748058441700	-85789660905318	-33007676970468	2.97962170732 %	0.728743229217 %	6.49985657715 %	0.00021859205225 %	6.68402915558e-05 %	0.000455922430033 %
InvQuant	2419396399	916743177	133857955	8351161	10968077	13780745	228	0	5	9577368832	3525583081	367131309	0.953890678719 %	0.345175391823 %	2.355682023 %	6.71470218403e-06 %	9.42383811492e-06 %	4.75918009957e-07 %
Quant	74631237870	28129370199	16729711719	170904797	1504108653	1751006206	12260	7228	134159	1164482585738	177902158531	-36254581688	2.86719431505 %	0.22899901151 %	7.25631180984 %	0.000128585311574 %	1.64274375582e-05 %	0.000315180324596 %
InvTransf	8818667032	4634332878	849288027	31497501	70400562	52472039	3374	1081	2374	225445142091	88840407524	-1510280210	1.07933851339 %	0.357168502742 %	2.24072019435 %	4.77476053487e-05 %	3.82597504561e-05 %	6.30058142212e-05 %
Transf	53156987338	22843981342	9881228917	373625182	1200861661	568060845	24695	7167	922574	2393468145603	-19515679736491	-9152302176447	2.49475182046 %	0.702871251195 %	5.40538163697 %	0.00111133159922 %	4.64567336049e-05 %	0.00284105432063 %
Misc	13446202105	4557685027	2493584387	52214232	196620430	84743656	10081	43855	53417	1321409823921	-2554236587553	-1048035905001	1.62741203319 %	0.388319553672 %	3.99026146188 %	0.000523737768829 %	7.49728430473e-05 %	0.00137949629051 %
Inter/Intra	339355081947	116908128533	58235990505	94888024	1510521825	281261478	9125	311415	24451	31591671163516	2115840575222	3816546696065	0.366700535859 %	0.0279612798063 %	1.0230336667 %	6.70537484489e-05 %	2.68892392819e-06 %	0.000191765502516 %
Inter	282024499708	144151316050	19982342149	308911470	2662386300	1394245738	27124	1515205	511928	44751764715343	-33407170116487	-24880212373066	0.978474433479 %	0.109533558368 %	2.47154184127 %	0.000460432464047 %	9.61760415428e-06 %	0.001235050155 %
Intra	8843223200	3064621168	1564086370	71633674	133033147	79730923	4633	11928	285247	317699229913	-43621484335	-42573221083	2.11103923803 %	0.810040325568 %	4.59661942893 %	0.00224027280031 %	5.23903999166e-05 %	0.00642025873444 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_1_MSizeLL_16777216_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
